Object ID,Department,AccessionYear,Object Name,Title,Culture,Artist Role,Artist Display Bio,Artist Alpha Sort,Object Date,City,Country,Classification,Link Resource,Tags
431212,Drawings and Prints,1933.0,Print collection ornament & architecture,"Frontispiece, from Alcôves, plate 1, bound in Oeuvres. Vol. I",,Artist|Publisher,"French, Paris 1618–1682 Paris|French, ca. 1590–1666 Paris","Le Pautre, Jean|Leblond, Jean I",17th century,Paris,,Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/431212,
729868,Drawings and Prints,1991.0,Book Prints Ornamet & Architecture,"Papiers Peints et Tentures Modernes, Pl. 27, Papier peint, composition de Mme Raisin",,Publisher|Printer|Author|Artist, | |French|French,"Massin, Ch. & Cie.|Catala frères|Clouzot, Henri|Raisin Mme",[1929],Paris,,Books|Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/729868,
718130,The American Wing,2020.0,Vase,Vase with peacock feathers,American,Manufacturer|Designer,"American, Cincinnati, Ohio 1880–1967|1870–1949","Rookwood Pottery Company|Sax, Sara",1913,Cincinnati,United States,,http://www.metmuseum.org/art/collection/search/718130,
503271,Musical Instruments,1986,Clavichord,Clavichord,German,Maker,"German, Neuwied 1707–1804 Neuwied",Kintzing Christian,1763,Neuwied,Germany,Chordophone-Zither-struck-clavichord,http://www.metmuseum.org/art/collection/search/503271,Men|Women|Landscapes
8476,The American Wing,1923.0,Spoon,Tea Spoon,American,Maker,1751–1824,"Van Voorhis, Daniel",1775–1800,New York,United States,,http://www.metmuseum.org/art/collection/search/8476,
345283,Drawings and Prints,1937.0,Book,Recueil D'Ornemens et Fleurs,,Designer|Publisher|Dedicatee,"French, Paris 1720–1775 Paris|Paris|French","Babel, Pierre Edmé|François|Dumarest, Monsieur",1735–75,Paris,,Books,http://www.metmuseum.org/art/collection/search/345283,
626543,Drawings and Prints,1958.0,Print ornament & architecture,"Pax, from Deorum Dearumque Capita : ex vetustis numismatibus in gratiam antiquitatis studiosorum effigiata et edita",,Publisher|Artist|Artist|Artist,"Netherlandish, Haarlem 1537–1612 Antwerp|Netherlandish, 1528/32–1605|Netherlandish, active 1554–72, died before 1589|Netherlandish, active Antwerp, 1563–73","Galle, Philips|Doetecum, Johannes van I|Doetecum, Lucas van|Groeningen, Gerard van",1573,Antwerp,,Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/626543,
317195,"Arts of Africa, Oceania, and the Americas",1999.0,Mantle,Mantle (Lamba Mpanjakas),Merina peoples,Artist,"born Madagascar (Malagasy),1963","Rakotoarimanana, Martin",1998,Imerina village,Madagascar,Textiles-Woven,http://www.metmuseum.org/art/collection/search/317195,
358090,Drawings and Prints,1923.0,Book,Tractato bellissimo & deuoto composto da Ugo Pariera...,,Publisher|Author,"Italian, active 15th century| ","Lorenzo da Morgiani and Giovanni Thedesco da Maganza|Panthiera, Ugo",1492,Florence,,Books,http://www.metmuseum.org/art/collection/search/358090,
390599,Drawings and Prints,1920.0,Drawing Ornament and Architecture,"Library Tables, from Chippendale Drawings, Vol. II",,Artist,"British, baptised Otley, West Yorkshire 1718–1779 London","Chippendale, Thomas",1759,London,,Drawings|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/390599,Tables
418716,Drawings and Prints,1928.0,Prints Collection Ornament and Architecture,Palazzo Farnese,,Draftsman|Publisher|Architect|Artist|Artist,"Italian, Rome 1600–1654 Rome|Italian, Rome 1627–1691 Rome|Italian, Florence 1484–1546 Terni|Italian, Caprese 1475–1564 Rome|Italian, Vignola 1507–1573 Rome","Ferrerio, Pietro|Rossi, Giovanni Giacomo De|Sangallo Antonio da, the Younger|Michelangelo Buonarroti|Vignola, Jacopo [Giacomo] Barozzi da",1655,Cologne,,Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/418716,
433844,Drawings and Prints,1953.0,Print collection ornament & architecture,"Large ceiling design with an Assembly of the Gods receiving Hercules, from Deux plafonds, plate 1",,Artist|Publisher,"French, Paris 1618–1682 Paris|French, ca. 1590–1666 Paris","Le Pautre, Jean|Leblond, Jean I",17th century,Paris,,Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/433844,
663233,Drawings and Prints,1939.0,Books Prints Ornament & Architecture,"Ornemens et Fleurs pour la Broderie, page 4",,Designer|Publisher,"French, 1623–1710|French, Paris 1640–1703","Ducerceau, Paul Androuet|Langlois, Nicolas",1690,Paris,,Books|Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/663233,
358139,Drawings and Prints,1937.0,Book,Paradossi Per Pratticare La Prospettiva Senza Saperla...,,Author|Publisher,"Italian, 1613?–after 1683|Italian, 1620–1691","Troili, Giulio|Longhi, Gioseffo",1683,Bologna,,Books,http://www.metmuseum.org/art/collection/search/358139,
687744,"Arts of Africa, Oceania, and the Americas",2015.0,Negative,Chief in top hat surrounded by women and children,,Photographer,"Togolese, Kedzi 1880–1975 Lomé","Acolatse, Alex Agbaglo",1909(?),Lomé,Togo,Negatives|Glass,http://www.metmuseum.org/art/collection/search/687744,Children|Women|Men
34812,Arms and Armor,2006.0,Engravings,Nouveaux Ornemens D'Arquebuseries,"French, Paris",Engraver,"French, Liège 1722–1776 Paris","Demarteau, Gilles",ca. 1750–55,Paris,,Works on Paper-Prints,http://www.metmuseum.org/art/collection/search/34812,Ornament
382025,Drawings and Prints,1962.0,Book,XI (-XII) Cahier d'Ornement. Pour la Boiserie d'Appartement,,Engraver|Artist|Publisher,"French, 1739–last cited 1784|French, Paris 1736–1786 Paris| ","Juillet, Jacques|Ranson, Pierre|La Veuve Avaulez",[about 1770s],Paris,,Books,http://www.metmuseum.org/art/collection/search/382025,
