Object ID,Is Public Domain,Department,AccessionYear,Object Name,Title,Culture,Artist Role,Artist Display Name,Artist Display Bio,Object Date,Object Begin Date,Credit Line,City,Classification,Link Resource,Tags
345410,False,Drawings and Prints,1957.0,Book,The Bible Looking Glass,,Illustrator|Publisher|Author|Author,"John Warner Barber|Bradley, Garreston & Co.|Rev. William Holmes|Henry Howe","American, Windsor, Connecticut 1798–1885 New Haven, Connecticut|Philadelphia, Pennsylvania|British, 18th century|American, 1816–1893",1874,1874,"Gift of Margaret Scherer, 1957",Philadelphia,Books,http://www.metmuseum.org/art/collection/search/345410,
350081,False,Drawings and Prints,1962.0,Book,"[Catalogue] manufacturers of high class window and interior display fixtures, dry goods. . . wax and paper mache forms",,Author,Frankel Display Fixtures Co.,"New York, NY",n.d.,1800,"Gift of Lincoln Kirstein, 1962",New York,Books,http://www.metmuseum.org/art/collection/search/350081,
348497,False,Drawings and Prints,1937.0,Book Prints Ornament & Architecture,Nouvelle Iconologie Historique ou Attributes Hierogliphyques... Tome 1.,,Artist|Engraver|Publisher|Publisher|Publisher,Jean Charles Delafosse|Charles Beurlier|Jean François Daumont|Le Pere et Avaulet|Jacques François Chereau,"French, Paris 1734–1789 Paris|French, first cited 1768, last cited 1775|French, active ca. 1750–before 1775| |French, Paris 1742–1794 Paris",1771–[1782] (?),1771,"Harris Brisbane Dick Fund, 1937",Paris,Books|Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/348497,
660975,true,Drawings and Prints,1953.0,Books Prints Ornament & Archiecture,"Fiori di Ricami Nuovamente Posti in Luce, page 8 (recto)",,Designer|Publisher,Matteo Florimi|Francesco de' Franceschi,"Italian, active Siena, ca. 1581–died 1613|Italian, active 16th century",1591,1591,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1953",Venice,Books|Prints|Ornament & Architecture,http://www.metmuseum.org/art/collection/search/660975,Flowers
2097,False,The American Wing,1968.0,Clock,Clock,American,Maker,Tiffany & Co.,1837–present,ca. 1885,1882,"Purchase, The Edgar J. Kaufmann Foundation Gift, 1968",New York,,http://www.metmuseum.org/art/collection/search/2097,Obelisks|Hieroglyphs|Sphinx
8217,True,The American Wing,1933.0,Tankard,Tankard,American,Maker|Maker,Paul Revere Jr.|Paul Revere Sr.,"American, Boston, Massachusetts 1734–1818 Boston, Massachusetts|1702–1754",ca. 1750,1747,"Bequest of Alphonso T. Clearwater, 1933",Boston,,http://www.metmuseum.org/art/collection/search/8217,Coat of Arms
348505,False,Drawings and Prints,1977.0,Book,Monographie de L'Oeuvre de Bernard Palissy,,Author|Author|Illustrator|Lithographer|Printer|Designer|Dedicatee|Illustrator,Henri Delange|Sauzay|C. Borneman|Lemercier & Cie.|E. Martinet|Bernard Palissy|Emilien de Nieuwerkerke|Carle Delange,"French|French| |French, Paris| |French, Agen, Lot-et-Garonne 1510–1590 Paris|French, Paris 1811–1892 Gattaiola|French",1862,1862,"Gift of Harvey Smith, 1977",Paris,Books,http://www.metmuseum.org/art/collection/search/348505,
384056,False,Drawings and Prints,1953.0,Book,National Portrait Gallery of Eminent Americans from Original Paintings by Alonzo Chappel,,Author|Artist|Publisher,"Evert Augustus Duyckinck|Alonzo Chappel|Johnson, Fry & Co.","American, 1816–1878|American, New York 1828–1887 Middle Island, New York|American, New York",1862,1862,"Gift of Malcolm Anderson, 1953",New York,Books,http://www.metmuseum.org/art/collection/search/384056,
347443,False,Drawings and Prints,1955.0,Book,Catalogus Gloriae Mundi,,Author|Publisher,Bartolomeo de Chasseneux|Antoine Vincent,"ca. 1480–1541|French, 16th century",1546,1546,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1955",Lyon,Books,http://www.metmuseum.org/art/collection/search/347443,
490948,false,Modern and Contemporary Art,1941,"Hanging, woven",Hanging,American,Manufacturer,Scalamandré,,before 1941,1940,"Gift of Franco Scalamandre, 1941",New York,Textiles-Woven,http://www.metmuseum.org/art/collection/search/490948,Flowers
